tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38690,8558,6992402,134549,2017-08-01 16:23:56
892177421306343426,33159,6291,6992402,134549,2017-08-01 00:17:27
891815181378084864,24962,4174,6992402,134549,2017-07-31 00:18:03
891689557279858688,42071,8690,6992402,134549,2017-07-30 15:58:51
891327558926688256,40227,9450,6992402,134549,2017-07-29 16:00:24
891087950875897856,20170,3128,6992402,134549,2017-07-29 00:08:17
890971913173991426,11814,2081,6992402,134549,2017-07-28 16:27:12
890729181411237888,65354,18979,6992402,134549,2017-07-28 00:22:40
890609185150312448,27724,4280,6992402,134549,2017-07-27 16:25:51
890240255349198849,31861,7446,6992402,134549,2017-07-26 15:59:51
890006608113172480,30582,7364,6992402,134549,2017-07-26 00:31:25
889880896479866881,27722,4990,6992403,134549,2017-07-25 16:11:53
889665388333682689,48011,10108,6992403,134549,2017-07-25 01:55:32
889638837579907072,27109,4565,6992403,134549,2017-07-25 00:10:02
889531135344209921,15058,2243,6992403,134549,2017-07-24 17:02:04
889278841981685760,25242,5448,6992403,134549,2017-07-24 00:19:32
888917238123831296,29002,4516,6992403,134549,2017-07-23 00:22:39
888804989199671297,25537,4362,6992403,134549,2017-07-22 16:56:37
888554962724278272,19854,3596,6992403,134549,2017-07-22 00:23:06
888078434458587136,21702,3509,6992403,134549,2017-07-20 16:49:33
887705289381826560,30109,5415,6992403,134549,2017-07-19 16:06:48
887517139158093824,46122,11717,6992403,134549,2017-07-19 03:39:09
887473957103951883,68942,18308,6992403,134549,2017-07-19 00:47:34
887343217045368832,33596,10448,6992403,134549,2017-07-18 16:08:03
887101392804085760,30453,5987,6992403,134549,2017-07-18 00:07:08
886983233522544640,35066,7808,6992403,134549,2017-07-17 16:17:36
886736880519319552,12039,3312,6992403,134549,2017-07-16 23:58:41
886680336477933568,22361,4488,6992403,134549,2017-07-16 20:14:00
886366144734445568,21146,3207,6992403,134549,2017-07-15 23:25:31
886267009285017600,116,4,6992403,134549,2017-07-15 16:51:35
886258384151887873,27913,6316,6992403,134549,2017-07-15 16:17:19
886054160059072513,0,104,6992403,134549,2017-07-15 02:45:48
885984800019947520,32620,6841,6992403,134549,2017-07-14 22:10:11
885528943205470208,35912,6459,6992403,134549,2017-07-13 15:58:47
885518971528720385,20372,3775,6992403,134549,2017-07-13 15:19:09
885311592912609280,0,18644,6992403,134549,2017-07-13 01:35:06
885167619883638784,21896,4401,6992403,134549,2017-07-12 16:03:00
884925521741709313,77377,18528,6992403,134549,2017-07-12 00:01:00
884876753390489601,27869,5810,6992403,134549,2017-07-11 20:47:12
884562892145688576,24243,4888,6992403,134549,2017-07-11 00:00:02
884441805382717440,26926,5671,6992403,134549,2017-07-10 15:58:53
884247878851493888,72852,20539,6992403,134549,2017-07-10 03:08:17
884162670584377345,20339,2997,6992403,134549,2017-07-09 21:29:42
883838122936631299,21847,3458,6992403,134549,2017-07-09 00:00:04
883482846933004288,45862,10014,6992403,134549,2017-07-08 00:28:19
883360690899218434,22515,3692,6992403,134549,2017-07-07 16:22:55
883117836046086144,37134,6702,6992403,134549,2017-07-07 00:17:54
882992080364220416,23899,3941,6992403,134549,2017-07-06 15:58:11
882762694511734784,28255,4942,6992403,134549,2017-07-06 00:46:41
882627270321602560,27840,6125,6992403,134549,2017-07-05 15:48:34
882268110199369728,44899,11672,6992403,134549,2017-07-04 16:01:23
882045870035918850,29282,5009,6992403,134549,2017-07-04 01:18:17
881906580714921986,24237,3411,6992403,134549,2017-07-03 16:04:48
